Effectively, you can | Basicamente, podemos
Can you send me the updated file? | Você me enviou o arquivo atualizado?
Let me explain the situation. | Eu expliquei a situação.
Here’s what happened. | Foi isso que aconteceu.
We need to align on this issue. | Nós precisávamos alinhar esse ponto.
I understand your concern. | Eu entendi sua preocupação.
That makes sense. | Isso fez sentido.
Let’s review the numbers together. | Nós revisamos os números juntos.
There seems to be a discrepancy. | Pareceu haver uma divergência.
I’ll double-check that information. | Eu conferi novamente essa informação.
Thank you for your time. | Eu agradeci pelo seu tempo.
I appreciate your support. | Eu agradeci seu apoio.
Before we finish, one last question. | Antes de encerrarmos, eu fiz uma última pergunta.
Is there anything else we should discuss? | Houve algo mais que deveríamos discutir?
Let’s confirm the next steps. | Nós confirmamos os próximos passos.
Could you hold for a moment? | Você aguardou um momento?
I’ll transfer you to the right person. | Eu transferi você para a pessoa correta.
Please hold the line. | Você aguardou na linha.
I’ll call you back in five minutes. | Eu retornei em cinco minutos.
Sorry, I missed your call. | Desculpe, eu perdi sua ligação.
I was in another meeting. | Eu estava em outra reunião.
Can we reschedule? | Nós reagendamos?
What time works best for you? | Que horário funcionou melhor para você?
Let’s keep this brief. | Nós mantivemos isso breve.
I just need a quick update. | Eu só precisei de uma atualização rápida.
We are on the same page. | Nós estivemos alinhados.
That’s exactly what I needed. | Foi exatamente o que eu precisei.
Thanks for calling. | Eu agradeci por ligar.
Talk to you soon. | Eu falei com você em breve.
Have a great day. | Eu tive um ótimo dia.
Goodbye for now. | Eu me despedi por enquanto.
Thank you. | Eu agradeci.
I'm honored to be with you today. | Eu fiquei honrado de estar com vocês hoje.
Truth be told, I never graduated from college. | Verdade seja dita, eu nunca me formei na faculdade.
This is the closest I've ever gotten to a college graduation. | Esse foi o mais perto que eu já cheguei de uma formatura universitária.
Today I wanna tell you three stories from my life. | Hoje eu quis contar três histórias da minha vida.
That's it. No big deal. | Foi só isso. Não foi nada demais.
The first story is about connecting the dots. | A primeira história foi sobre conectar os pontos.
I dropped out of Reed College after the first six months. | Eu abandonei a faculdade Reed após seis meses.
I stayed around for another eighteen months. | Eu permaneci por mais dezoito meses.
So why did I drop out? | Então por que eu abandonei?
It started before I was born. | Isso começou antes de eu nascer.
My biological mother decided to put me up for adoption. | Minha mãe biológica decidiu me colocar para adoção.
She felt strongly that I should be adopted by college graduates. | Ela acreditou fortemente que eu deveria ser adotado por formados na faculdade.
Everything was all set. | Tudo estava preparado.
They decided at the last minute that they wanted a girl. | Eles decidiram no último minuto que queriam uma menina.
My parents got a call in the middle of the night. | Meus pais receberam uma ligação no meio da noite.
We've got an unexpected baby boy. | Nós tivemos um bebê inesperado.
My biological mother refused to sign the adoption papers. | Minha mãe biológica se recusou a assinar os documentos de adoção.
She relented a few months later. | Ela cedeu alguns meses depois.
My parents promised that I would go to college. | Meus pais prometeram que eu iria para a faculdade.
Seventeen years later, I did go to college. | Dezessete anos depois, eu realmente fui para a faculdade.
I naively chose a college that was almost as expensive as Stanford. | Eu ingenuamente escolhi uma faculdade quase tão cara quanto Stanford.
All of my parents' savings were being spent on tuition. | Todas as economias dos meus pais foram gastas na mensalidade.
After six months, I couldn't see the value in it. | Após seis meses, eu não vi valor naquilo.
I had no idea what I wanted to do with my life. | Eu não tinha ideia do que eu queria fazer da minha vida.
I decided to drop out and trust that it would work out. | Eu decidi abandonar e confiar que tudo daria certo.
It was pretty scary at the time. | Foi bastante assustador na época.
Looking back, it was one of the best decisions I ever made. | Olhando para trás, foi uma das melhores decisões que eu já tomei.
I stopped taking the required classes. | Eu parei de fazer as aulas obrigatórias.
I began dropping in on the classes that interested me. | Eu comecei a frequentar as aulas que me interessavam.
I didn't have a dorm room. | Eu não tive quarto no campus.
I slept on the floor in friends' rooms. | Eu dormi no chão no quarto de amigos.
I returned coke bottles to buy food. | Eu devolvi garrafas para comprar comida.
I walked seven miles across town every Sunday night. | Eu caminhei sete milhas pela cidade todo domingo à noite.
I loved it. | Eu amei aquilo.
Much of what I stumbled into turned out to be priceless later on. | Muito do que eu descobri acabou sendo valioso mais tarde.

Reed College offered the best calligraphy instruction. | A faculdade ofereceu as melhores aulas de caligrafia.
I decided to take a calligraphy class. | Eu decidi fazer uma aula de caligrafia.
I learned about serif and sans serif typefaces. | Eu aprendi sobre fontes serif e sans serif.
I learned about spacing between letters. | Eu aprendi sobre espaçamento entre letras.
None of this had any practical application in my life. | Nada disso teve aplicação prática na minha vida.
Ten years later it all came back to me. | Dez anos depois tudo voltou para mim.
We designed it into the first Macintosh. | Nós projetamos isso no primeiro Macintosh.
It was the first computer with beautiful typography. | Foi o primeiro computador com tipografia bonita.

You can't connect the dots looking forward. | Você não conseguiu conectar os pontos olhando para frente.
You can only connect them looking backward. | Você só conseguiu conectá-los olhando para trás.
You have to trust that the dots will connect. | Você teve que confiar que os pontos se conectariam.
Believing that gave me confidence. | Acreditar nisso me deu confiança.
That made all the difference. | Isso fez toda a diferença.

My second story was about love and loss. | Minha segunda história foi sobre amor e perda.
I found what I loved to do early in life. | Eu encontrei cedo o que eu amava fazer.
We started Apple in my parents' garage. | Nós começamos a Apple na garagem dos meus pais.
Apple grew into a two billion dollar company. | A Apple cresceu e virou uma empresa de dois bilhões de dólares.
We released the Macintosh. | Nós lançamos o Macintosh.
Then I got fired. | Então eu fui demitido.
Our visions began to diverge. | Nossas visões começaram a divergir.
We had a falling out. | Nós tivemos um desentendimento.
The board sided with him. | O conselho ficou do lado dele.
At thirty I was out. | Aos trinta eu fiquei fora.
It was devastating. | Foi devastador.

I didn't know what to do for a few months. | Eu não soube o que fazer por alguns meses.
I felt I had let people down. | Eu senti que eu tinha decepcionado as pessoas.
I tried to apologize for screwing up. | Eu tentei me desculpar por estragar tudo.
I thought about running away. | Eu pensei em fugir.
But I still loved what I did. | Mas eu ainda amei o que eu fazia.
So I decided to start over. | Então eu decidi começar de novo.
Getting fired turned out to be the best thing. | Ser demitido acabou sendo a melhor coisa.
It freed me to enter a creative period. | Isso me libertou para entrar em um período criativo.
I started NeXT. | Eu comecei a NeXT.
I started Pixar. | Eu comecei a Pixar.
I fell in love with an amazing woman. | Eu me apaixonei por uma mulher incrível.

Apple bought NeXT. | A Apple comprou a NeXT.
I returned to Apple. | Eu voltei para a Apple.
None of this would have happened if I hadn't been fired. | Nada disso teria acontecido se eu não tivesse sido demitido.
Life hit me in the head with a brick. | A vida me acertou na cabeça como um tijolo.
I didn't lose faith. | Eu não perdi a fé.
I loved what I did. | Eu amei o que eu fazia.
You have to find what you love. | Você teve que encontrar o que ama.
Don't settle. | Você não se acomodou.

My third story was about death. | Minha terceira história foi sobre a morte.
I read a quote when I was seventeen. | Eu li uma citação quando eu tinha dezessete anos.
It made an impression on me. | Isso causou uma impressão em mim.
I looked in the mirror every morning. | Eu olhei no espelho toda manhã.
Whenever the answer was no, I changed something. | Sempre que a resposta foi não, eu mudei algo.
Remembering death helped me make big decisions. | Lembrar da morte me ajudou a tomar grandes decisões.
Almost everything fell away in the face of death. | Quase tudo desapareceu diante da morte.
There was no reason not to follow my heart. | Não houve razão para não seguir meu coração.

I was diagnosed with cancer. | Eu fui diagnosticado com câncer.
The scan showed a tumor on my pancreas. | O exame mostrou um tumor no meu pâncreas.
The doctors said it was incurable. | Os médicos disseram que era incurável.
They told me to get my affairs in order. | Eles me disseram para organizar meus assuntos.
Later it turned out to be curable. | Depois acabou sendo curável.
I had surgery. | Eu fiz a cirurgia.
Thankfully I was fine. | Felizmente eu fiquei bem.
No one wanted to die. | Ninguém quis morrer.

Death was the best invention of life. | A morte foi a melhor invenção da vida.
It cleared out the old to make way for the new. | Ela limpou o velho para dar lugar ao novo.
Your time was limited. | Seu tempo foi limitado.
Don't waste it living someone else's life. | Você não desperdiçou vivendo a vida de outra pessoa.
Don't be trapped by dogma. | Você não ficou preso por dogmas.
Don't let opinions drown out your inner voice. | Você não deixou opiniões abafarem sua voz interior.
Have the courage to follow your heart. | Você teve coragem de seguir seu coração.
Everything else was secondary. | Todo o resto foi secundário.

Stay Hungry. Stay Foolish. | Continue com fome. Continue tolo.
I always wished that for myself. | Eu sempre desejei isso para mim.
I wished that for you. | Eu desejei isso para você.
Thank you all very much. | Eu agradeci muito a todos vocês.
It’s undeniable that we should be together | Foi inegável que nós deveríamos estar juntos
It’s unbelievable how I used to say that I’d never fall | Foi inacreditável como eu costumava dizer que nunca me apaixonaria
If you don’t know just how I feel | Se você não soube exatamente como eu me senti
Then let me show you now that I’m for real | Então eu te mostrei naquele momento que eu estava falando sério
If all things in time, time will reveal | Se todas as coisas aconteceram no tempo certo, o tempo revelou

One, you’re like a dream come true | Um, você foi como um sonho que se tornou realidade
Two, just wanna be with you | Dois, eu só quis estar com você
Three, it was plain to see that you were the only one for me | Três, ficou claro que você foi a única para mim
Four, I repeated steps one through three | Quatro, eu repeti os passos de um a três
Five, I made you fall in love with me | Cinco, eu fiz você se apaixonar por mim
If ever I believed my work was done, I started back at one | Se alguma vez eu acreditei que meu trabalho terminou, eu comecei novamente do um

It was incredible the way things worked themselves out | Foi incrível a maneira como as coisas se resolveram
Once I knew what it was all about | Quando eu entendi do que tudo se tratava
It was undesirable for us to be apart | Foi indesejável que estivéssemos separados
We would never have made it very far | Nós nunca teríamos ido muito longe
You had the keys to my heart | Você teve as chaves do meu coração

Say farewell to the dark night, I saw the coming of the sun | Eu me despedi da noite escura, eu vi a chegada do sol
I felt like a little child whose life had just begun | Eu me senti como uma criança cuja vida tinha acabado de começar
You came and breathed new life into this lonely heart of mine | Você veio e trouxe nova vida para esse meu coração solitário
You threw out the lifeline just in the nick of time | Você lançou a linha de resgate bem no último instante

Things have been hectic. | As coisas estiveram corridas.
It has been a busy week. | Foi uma semana movimentada.
We had a tight deadline. | Nós tivemos um prazo apertado.
We managed to deliver on time. | Nós conseguimos entregar no prazo.
I needed your support on this. | Eu precisei do seu apoio nisso.
We aligned on the next steps. | Nós alinhamos os próximos passos.
I shared the report with the team. | Eu compartilhei o relatório com o time.
The file was not available yet. | O arquivo não estava disponível ainda.
We expected the report by the 20th. | Nós esperamos o relatório até o dia 20.
We had only a few working days. | Nós tivemos poucos dias úteis.
I followed up on this request. | Eu acompanhei essa solicitação.
We reviewed the data together. | Nós revisamos os dados juntos.
I asked for clarification. | Eu pedi esclarecimento.
We confirmed the process. | Nós confirmamos o processo.
The team supported the activity. | O time apoiou a atividade.
I updated the website. | Eu atualizei o site.
We completed the publication. | Nós concluímos a publicação.
I ensured the delivery. | Eu garanti a entrega.
We worked under pressure. | Nós trabalhamos sob pressão.
I coordinated with the team. | Eu coordenei com o time.
We handled the request quickly. | Nós tratamos a solicitação rapidamente.
I checked the information. | Eu verifiquei as informações.
We validated the data. | Nós validamos os dados.
I sent the final version. | Eu enviei a versão final.
We received the file late. | Nós recebemos o arquivo tarde.
I escalated the issue. | Eu escalei o problema.
We adjusted the timeline. | Nós ajustamos o cronograma.
I communicated the delay. | Eu comuniquei o atraso.
We prioritized this activity. | Nós priorizamos essa atividade.
I confirmed the deadline. | Eu confirmei o prazo.
We delivered within the deadline. | Nós entregamos dentro do prazo.
I aligned expectations. | Eu alinhei as expectativas.
We improved the process. | Nós melhoramos o processo.
I supported the implementation. | Eu apoiei a implementação.
We completed the task successfully. | Nós concluímos a tarefa com sucesso.
I handled the communication. | Eu conduzi a comunicação.
We ensured compliance. | Nós garantimos conformidade.
I reviewed the request carefully. | Eu revisei a solicitação cuidadosamente.
We identified the issue. | Nós identificamos o problema.
I proposed a solution. | Eu propus uma solução.
We resolved the issue. | Nós resolvemos o problema.
I shared the updates. | Eu compartilhei as atualizações.
We kept the stakeholders informed. | Nós mantivemos os stakeholders informados.
I followed the standard process. | Eu segui o processo padrão.
We met the requirements. | Nós atendemos os requisitos.
I requested additional time. | Eu solicitei mais tempo.
We completed the review. | Nós concluímos a revisão.
I ensured accuracy. | Eu garanti a precisão.
We finalized the report. | Nós finalizamos o relatório.
I confirmed everything was correct. | Eu confirmei que tudo estava correto.
I handled a last-minute payroll adjustment. | Eu tratei um ajuste de folha de última hora.
I reprocessed payroll due to an error. | Eu reprocesssei a folha devido a um erro.
I escalated a compliance risk. | Eu escalei um risco de compliance.
I reviewed payroll impacts before approval. | Eu revisei impactos da folha antes da aprovação.
I mapped a critical payroll issue. | Eu mapeei um problema crítico de folha.
I corrected tax calculations manually. | Eu corrigi cálculos de impostos manualmente.
I supported a system migration. | Eu apoiei uma migração de sistema.
I validated integration between systems. | Eu validei integração entre sistemas.
I identified a gap in the process. | Eu identifiquei uma falha no processo.
I proposed a process improvement. | Eu propus uma melhoria de processo.

I reviewed employee benefits allocation. | Eu revisei a alocação de benefícios.
I handled a sensitive employee case. | Eu tratei um caso sensível de colaborador.
I aligned payroll data with finance. | Eu alinhei dados da folha com o financeiro.
I corrected inconsistencies in reports. | Eu corrigi inconsistências nos relatórios.
I monitored payroll exceptions. | Eu monitorei exceções da folha.
I ensured data consistency across systems. | Eu garanti consistência de dados entre sistemas.
I reviewed historical payroll data. | Eu revisei dados históricos da folha.
I validated bonus calculations. | Eu validei cálculos de bônus.
I tracked variable compensation. | Eu acompanhei remuneração variável.
I adjusted payroll entries. | Eu ajustei lançamentos da folha.

I handled multiple payroll cycles. | Eu tratei múltiplos ciclos de folha.
I supported off-cycle payments. | Eu apoiei pagamentos fora do ciclo.
I analyzed workforce costs. | Eu analisei custos de força de trabalho.
I reviewed headcount planning. | Eu revisei planejamento de headcount.
I monitored budget execution. | Eu monitorei execução de orçamento.
I flagged inconsistencies early. | Eu sinalizei inconsistências antecipadamente.
I anticipated operational risks. | Eu antecipei riscos operacionais.
I supported internal audits. | Eu apoiei auditorias internas.
I prepared audit documentation. | Eu preparei documentação de auditoria.
I responded to compliance findings. | Eu respondi apontamentos de compliance.

I structured payroll controls. | Eu estruturei controles de folha.
I improved data governance. | Eu melhorei governança de dados.
I reviewed approval workflows. | Eu revisei fluxos de aprovação.
I redesigned a payroll process. | Eu redesenhei um processo de folha.
I implemented validation rules. | Eu implementei regras de validação.
I reduced process errors. | Eu reduzi erros de processo.
I standardized operational routines. | Eu padronizei rotinas operacionais.
I improved data traceability. | Eu melhorei rastreabilidade de dados.
I ensured audit readiness. | Eu garanti prontidão para auditoria.
I tracked compliance indicators. | Eu acompanhei indicadores de compliance.

I led a payroll alignment meeting. | Eu liderei uma reunião de alinhamento de folha.
I clarified requirements with stakeholders. | Eu esclareci requisitos com stakeholders.
I translated business needs into actions. | Eu traduzi necessidades do negócio em ações.
I aligned cross-functional teams. | Eu alinhei equipes multifuncionais.
I facilitated decision-making discussions. | Eu facilitei discussões de decisão.
I presented risks and impacts. | Eu apresentei riscos e impactos.
I negotiated deadlines with teams. | Eu negociei prazos com equipes.
I handled conflicting priorities. | Eu tratei prioridades conflitantes.
I supported leadership alignment. | Eu apoiei alinhamento da liderança.
I drove accountability in the team. | Eu conduzi responsabilidade no time.

I automated payroll validations. | Eu automatizei validações da folha.
I built a payroll control tool. | Eu construí uma ferramenta de controle de folha.
I extracted data using scripts. | Eu extraí dados usando scripts.
I transformed raw data into insights. | Eu transformei dados brutos em insights.
I created data pipelines. | Eu criei pipelines de dados.
I optimized data extraction processes. | Eu otimizei processos de extração de dados.
I improved reporting accuracy. | Eu melhorei a precisão dos relatórios.
I automated repetitive validations. | Eu automatizei validações repetitivas.
I structured large datasets. | Eu estruturei grandes bases de dados.
I improved data processing speed. | Eu melhorei a velocidade de processamento de dados.

I monitored service delivery performance. | Eu monitorei a performance da entrega de serviços.
I tracked SLA compliance. | Eu acompanhei cumprimento de SLA.
I improved vendor performance. | Eu melhorei a performance de fornecedores.
I managed service escalations. | Eu gerenciei escalonamentos de serviço.
I reviewed contract deliverables. | Eu revisei entregáveis de contrato.
I handled vendor discrepancies. | Eu tratei divergências de fornecedores.
I ensured service quality standards. | Eu garanti padrões de qualidade de serviço.
I analyzed supplier risks. | Eu analisei riscos de fornecedores.
I aligned expectations with vendors. | Eu alinhei expectativas com fornecedores.
I controlled external service costs. | Eu controlei custos de serviços externos.

I structured HR dashboards. | Eu estruturei dashboards de RH.
I analyzed employee behavior data. | Eu analisei dados de comportamento dos colaboradores.
I tracked engagement indicators. | Eu acompanhei indicadores de engajamento.
I evaluated attrition trends. | Eu avaliei tendências de turnover.
I monitored workforce performance. | Eu monitorei performance da força de trabalho.
I identified productivity gaps. | Eu identifiquei lacunas de produtividade.
I supported strategic planning. | Eu apoiei planejamento estratégico.
I delivered insights to leadership. | Eu entreguei insights à liderança.
I connected data to business outcomes. | Eu conectei dados a resultados do negócio.
I influenced decision-making with data. | Eu influenciei decisões com dados.

I handled urgent operational issues. | Eu tratei problemas operacionais urgentes.
I managed high-pressure situations. | Eu gerenciei situações de alta pressão.
I ensured continuity of operations. | Eu garanti continuidade das operações.
I maintained process stability. | Eu mantive estabilidade dos processos.
I resolved critical bottlenecks. | Eu resolvi gargalos críticos.
I improved operational resilience. | Eu melhorei a resiliência operacional.
I ensured process transparency. | Eu garanti transparência dos processos.
I documented key decisions. | Eu documentei decisões-chave.
I maintained alignment with business goals. | Eu mantive alinhamento com objetivos do negócio.
I delivered consistent results. | Eu entreguei resultados consistentes.

I handled payroll end-to-end. | Eu cuidei da folha de ponta a ponta.
I fixed payroll issues fast. | Eu resolvi problemas de folha rapidamente.
I kept everything on track. | Eu mantive tudo no caminho certo.
I made sure payroll closed right. | Eu garanti que a folha fechou corretamente.
I dealt with tight deadlines. | Eu lidei com prazos apertados.
I worked closely with finance. | Eu trabalhei próximo do financeiro.
I aligned things with leadership. | Eu alinhei tudo com a liderança.
I kept the process clean. | Eu mantive o processo organizado.
I avoided rework whenever possible. | Eu evitei retrabalho sempre que possível.
I caught issues early. | Eu identifiquei problemas cedo.

I improved how we worked. | Eu melhorei a forma como trabalhávamos.
I simplified complex processes. | Eu simplifiquei processos complexos.
I made data easier to read. | Eu deixei os dados mais fáceis de entender.
I built dashboards that made sense. | Eu construí dashboards claros.
I turned data into decisions. | Eu transformei dados em decisões.
I supported business decisions. | Eu apoiei decisões do negócio.
I helped teams move faster. | Eu ajudei times a avançarem mais rápido.
I removed bottlenecks. | Eu removi gargalos.
I made processes more reliable. | Eu deixei processos mais confiáveis.
I kept things running smoothly. | Eu mantive tudo rodando bem.

I worked on system implementations. | Eu trabalhei em implementações de sistema.
I supported system changes. | Eu apoiei mudanças de sistema.
I tested everything before go-live. | Eu testei tudo antes do go-live.
I made sure integrations worked. | Eu garanti que as integrações funcionaram.
I handled data migrations. | Eu cuidei de migrações de dados.
I validated payroll outputs. | Eu validei resultados da folha.
I ensured data was accurate. | Eu garanti que os dados estavam corretos.
I checked everything twice. | Eu conferi tudo duas vezes.
I documented the process clearly. | Eu documentei o processo claramente.
I trained the team when needed. | Eu treinei o time quando necessário.

I dealt with sensitive cases. | Eu lidei com casos sensíveis.
I handled confidential data. | Eu tratei dados confidenciais.
I supported employee needs. | Eu apoiei necessidades dos colaboradores.
I solved issues quickly. | Eu resolvi problemas rapidamente.
I stayed calm under pressure. | Eu mantive calma sob pressão.
I managed multiple priorities. | Eu gerenciei múltiplas prioridades.
I kept communication clear. | Eu mantive a comunicação clara.
I aligned everyone involved. | Eu alinhei todos os envolvidos.
I followed through on actions. | Eu garanti execução das ações.
I made sure nothing was missed. | Eu garanti que nada foi perdido.

I worked with large datasets. | Eu trabalhei com grandes volumes de dados.
I cleaned and structured data. | Eu limpei e estruturei dados.
I automated repetitive tasks. | Eu automatizei tarefas repetitivas.
I used Python to optimize work. | Eu usei Python para otimizar o trabalho.
I improved reporting time. | Eu melhorei o tempo de relatórios.
I made reports more useful. | Eu deixei relatórios mais úteis.
I tracked key HR metrics. | Eu acompanhei métricas-chave de RH.
I analyzed trends over time. | Eu analisei tendências ao longo do tempo.
I supported strategic insights. | Eu apoiei insights estratégicos.
I added value through data. | Eu agreguei valor com dados.

I wasn’t in a good place, but I felt better. | Eu não estava bem, mas me senti melhor.
I carried something positive with me. | Eu carreguei algo positivo comigo.
I felt lost, but it didn’t last long. | Eu me senti perdido, mas não durou muito.
I sensed change was coming. | Eu senti que algo estava mudando.

Something inside me shifted. | Algo dentro de mim mudou.
I started to feel lighter. | Eu comecei a me sentir mais leve.
I found hope in small things. | Eu encontrei esperança em pequenas coisas.
I knew things would improve. | Eu sabia que as coisas melhorariam.
I felt the momentum building. | Eu senti o impulso crescendo.
Everything began to move forward. | Tudo começou a avançar.

Someone gave me a chance. | Alguém me deu uma chance.
I stepped out of my limits. | Eu saí dos meus limites.
Time stopped mattering to me. | O tempo deixou de importar para mim.
I stopped worrying about age. | Eu parei de me preocupar com idade.
I moved without fear. | Eu me movi sem medo.
I trusted my instincts. | Eu confiei nos meus instintos.

I adapted to every situation. | Eu me adaptei a cada situação.
I handled pressure naturally. | Eu lidei com pressão naturalmente.
I didn’t feel restricted anymore. | Eu não me senti mais limitado.
I saw things from a wider view. | Eu vi as coisas de forma mais ampla.
I simplified complex scenarios. | Eu simplifiquei situações complexas.
I made things easier to manage. | Eu tornei tudo mais fácil de lidar.

I made my own choices. | Eu fiz minhas próprias escolhas.
Others hesitated, but I didn’t. | Outros hesitaram, mas eu não.
I stood out from the crowd. | Eu me destaquei do grupo.
I took control of the situation. | Eu assumi o controle da situação.
I drove the direction forward. | Eu conduzi a direção adiante.
I owned my decisions. | Eu assumi minhas decisões.

I imagined new possibilities. | Eu imaginei novas possibilidades.
I saw beyond what was obvious. | Eu vi além do óbvio.
I questioned what was real. | Eu questionei o que era real.
I explored different perspectives. | Eu explorei diferentes perspectivas.
I challenged my own beliefs. | Eu desafiei minhas próprias crenças.
I opened my mind to new ideas. | Eu abri minha mente para novas ideias.

I showed up when it mattered. | Eu apareci quando importava.
I helped bring clarity. | Eu ajudei a trazer clareza.
I supported others in confusion. | Eu apoiei outros na confusão.
I made things make sense. | Eu fiz as coisas fazerem sentido.
I connected the dots. | Eu conectei os pontos.
I turned chaos into direction. | Eu transformei caos em direção.

I gave meaning to the moment. | Eu dei significado ao momento.
I changed how things felt. | Eu mudei como as coisas eram sentidas.
I influenced the environment. | Eu influenciei o ambiente.
I created impact around me. | Eu criei impacto ao meu redor.
I shifted the energy. | Eu mudei a energia.
I made things feel real. | Eu fiz as coisas parecerem reais.

I focused on the essentials. | Eu foquei no essencial.
I built from the basics. | Eu construí a partir do básico.
I kept things simple and effective. | Eu mantive as coisas simples e eficazes.
I trusted the process. | Eu confiei no processo.
I stayed consistent. | Eu mantive consistência.
I followed what worked. | Eu segui o que funcionava.

I noticed patterns others missed. | Eu percebi padrões que outros não viram.
I saw deeper than the surface. | Eu vi além da superfície.
I understood hidden issues. | Eu entendi problemas ocultos.
I recognized underlying risks. | Eu reconheci riscos ocultos.
I didn’t ignore warning signs. | Eu não ignorei sinais de alerta.
I acted before things escalated. | Eu agi antes que piorasse.

I guided the direction forward. | Eu guiei a direção adiante.
I influenced how people saw things. | Eu influenciei como as pessoas viam as coisas.
I helped others think clearly. | Eu ajudei outros a pensar com clareza.
I shared what I knew. | Eu compartilhei o que eu sabia.
I stayed present in the process. | Eu permaneci presente no processo.
I contributed consistently. | Eu contribuí de forma consistente.

I helped people stay grounded. | Eu ajudei as pessoas a manterem o foco.
I reminded them what mattered. | Eu lembrei o que importava.
I brought awareness to the situation. | Eu trouxe consciência à situação.
I reconnected people to reality. | Eu reconectei as pessoas à realidade.
I helped them think differently. | Eu ajudei eles a pensar diferente.
I made them reflect more. | Eu fiz eles refletirem mais.

I kept moving forward. | Eu continuei avançando.
I didn’t stop midway. | Eu não parei no meio.
I stayed committed to the path. | Eu permaneci comprometido com o caminho.
I pushed through challenges. | Eu superei desafios.
I stayed focused until the end. | Eu mantive foco até o fim.
I trusted the outcome. | Eu confiei no resultado.

I knew my time would come. | Eu soube que meu momento chegaria.
I believed in the process. | Eu acreditei no processo.
I stayed patient. | Eu permaneci paciente.
I kept evolving. | Eu continuei evoluindo.
I grew through the experience. | Eu cresci com a experiência.
I became stronger over time. | Eu me tornei mais forte com o tempo.

